426c66ad	00000000	00000000	4329884d	42b7a6ad	00000000	43413f19	00000000
00000000	00000000	40004900	439d1c40	425f7188	00000000	4387e0d0	00000000
00000000	00000000	437e6131	43f35ae9	00000000	00000000	431554ac	00000000
00000000	00000000	4363adba	4364c791	00000000	00000000	00000000	00000000
00000000	4111602d	00000000	42c335af	00000000	00000000	00000000	00000000
00000000	429d7989	00000000	434bdf98	00000000	42912bf6	00000000	00000000
4245da9d	42d3ef28	00000000	00000000	411edecc	3f3da165	00000000	00000000
41b82042	00000000	00000000	00000000	430095ae	00000000	42c689da	00000000
00000000	00000000	4282103b	43c09870	00000000	00000000	42c43745	00000000
00000000	00000000	4349cea8	43180511	00000000	00000000	42cb011e	42070532
4427a146	43233fc3	4261d852	00000000	4326d841	43ccc136	44014ea3	43c194df
43a31ed5	00000000	4304bb05	00000000	43aaae5d	43b2ec0e	437bf3ea	41ebcaf8
412563da	00000000	4354adbf	4292229a	418beed5	00000000	00000000	00000000
00000000	417ef93d	426f553a	434b218c	00000000	00000000	00000000	00000000
4300f475	41088143	00000000	00000000	416cf98c	42e0faf9	42c358ac	00000000
42a193ce	416839fa	00000000	425ed04b	4211913a	4355d0a1	00000000	00000000
42450b0f	00000000	40d849d8	00000000	41487651	00000000	43006d36	00000000
43dc0f93	00000000	00000000	00000000	4383b74a	43a901e0	43f331b5	421e7c77
44235950	00000000	00000000	00000000	43f36d68	43c40014	439ac512	00000000
43d348d3	00000000	00000000	00000000	43909386	00000000	4245739f	00000000
437d66aa	00000000	00000000	42e33efa	4294ef29	00000000	43153eea	00000000
43872a01	00000000	00000000	42eaed71	42c02f80	00000000	434d03d0	00000000
4389d8e1	00000000	00000000	42dba85d	430ac115	00000000	4363e8f7	00000000
43a4c830	00000000	00000000	42f18380	42d04b86	422c98e6	438066c9	00000000
43b31765	00000000	00000000	42b89685	42e42dd1	00000000	42f8eaee	00000000
4392e7df	00000000	00000000	42f79a3c	42439331	00000000	42997805	00000000
4381e97f	00000000	00000000	4326b7b0	00000000	00000000	42aeb803	00000000
43899d06	00000000	00000000	4327bdd7	00000000	40d1ae22	42aea546	00000000
4391bcf6	00000000	00000000	43046ef8	00000000	00000000	42922684	00000000
438ac880	00000000	00000000	4323a83a	00000000	00000000	428e01f8	00000000
437cf285	00000000	00000000	43516434	00000000	00000000	428aa2ec	00000000
4366d6be	00000000	00000000	43476f6f	00000000	00000000	420c59cb	00000000
4359c970	00000000	00000000	434fc9fb	00000000	00000000	42510983	00000000
4347dfb9	00000000	00000000	434c3e98	00000000	00000000	41a3aee8	00000000
4329d2c9	00000000	00000000	4364558c	00000000	00000000	4256e8b1	00000000
4340e6a0	00000000	00000000	435eac5d	00000000	00000000	42bf2e31	00000000
436444ca	00000000	00000000	4328aa52	00000000	00000000	42a8bb34	00000000
435c7c25	00000000	00000000	433a37dc	00000000	00000000	42928bc4	00000000
43290143	00000000	00000000	4348618a	00000000	00000000	424a606a	00000000
42ff2ad3	00000000	00000000	43644a85	00000000	00000000	428bcff4	00000000
4311a915	00000000	00000000	435a1c88	00000000	00000000	42bff42e	00000000
43122f7d	00000000	00000000	43631f34	00000000	00000000	42951ab1	00000000
4303fed8	00000000	00000000	434eb07d	00000000	00000000	4244bf0b	00000000
430d1ced	00000000	00000000	4336f466	00000000	00000000	428d1f02	00000000
43151a8b	00000000	00000000	432fec17	00000000	00000000	42800046	00000000
42db6f1a	00000000	00000000	43420a9d	00000000	00000000	4202221d	00000000
42c5a8aa	00000000	00000000	43174ef3	00000000	00000000	42a44fcb	00000000
429511ac	00000000	00000000	42cdac5b	430e604f	00000000	435966fd	00000000
00000000	00000000	423b971b	43dc7933	00000000	00000000	42e5df10	00000000
00000000	00000000	4383181d	43fd0395	00000000	00000000	00000000	00000000
00000000	41127d12	00000000	431fed5b	00000000	00000000	00000000	00000000
409e05fb	41809625	00000000	42ad9b10	00000000	42801183	41f834fa	00000000
4288d208	427d0e96	41baff2d	42ea10d4	00000000	42ae8f78	00000000	00000000
4292f132	409f7af4	00000000	00000000	430a1ff9	00000000	00000000	00000000
00000000	00000000	00000000	42a0cb0b	419f536c	425d5c84	427d9c1a	00000000
00000000	00000000	42dd027a	43789415	00000000	00000000	430527a0	00000000
4431f651	433ebb39	424a220b	00000000	430832ed	43a90031	43f44f2d	43c21c5b
435b735d	00000000	42ee7f99	00000000	437ace1d	00000000	00000000	00000000
00000000	00000000	424e7fee	43723f4d	00000000	00000000	00000000	00000000
00000000	00000000	41432ed0	43463512	00000000	00000000	4348637d	00000000
4366f3d7	00000000	00000000	00000000	435c1fc8	43875e54	430c9e07	00000000
4248713c	00000000	429f0fe9	00000000	427149a4	00000000	41dbd197	00000000
432a9542	00000000	41ffa825	42a5c14b	426434c5	00000000	43b88122	00000000
4417c175	00000000	00000000	00000000	43de94dc	440e31a2	43df5672	4270a803
440b9459	00000000	424af204	00000000	43ac2f2e	4235ef19	429ee646	00000000
43b10582	00000000	00000000	00000000	43076c5b	00000000	419fef45	00000000
4386f057	00000000	00000000	42b88072	427712b2	42328994	43122b02	00000000
438e1ea2	00000000	00000000	4296e741	42acef3c	4194a8ea	43088cd7	00000000
438ef0ba	00000000	00000000	42c5a098	4276bd70	00000000	42fdd520	00000000
43a04eae	00000000	00000000	42bc3d7b	4239d09d	00000000	42eddee3	00000000
43a50a57	00000000	00000000	42cf1af6	41f1a9a4	00000000	42998d8e	00000000
438c5e76	00000000	00000000	43282d09	00000000	00000000	428318f3	00000000
437b22f3	00000000	00000000	433e19ee	00000000	00000000	42913688	00000000
437be465	00000000	00000000	4336133c	00000000	405aa032	42375953	00000000
43843c46	00000000	00000000	432731e2	00000000	00000000	418e1937	00000000
438957fc	00000000	00000000	430c9cce	00000000	41a06edc	42075371	00000000
436e4bfd	00000000	00000000	4337a866	00000000	417487d0	40c62aa3	00000000
434e15b2	00000000	00000000	434d0fc7	00000000	00000000	40160593	00000000
